Run_Number,BNF_Version,Fitness_Score,Population,Fitnes_Function,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
1,1,3,1000,ffv1,,,,,,,,,,,,
2,1,3,1000,ffv1,,,,,,,,,,,,
2,1,3,1000,ffv1,,,,,,,,,,,,
2,1,3,1000,ffv1,,,,,,,,,,,,
2,1,4,1000,ffv1,,,,,,,,,,,,
2,1,4,1000,ffv1,,,,,,,,,,,,
2,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
3,1,4,1000,ffv1,,,,,,,,,,,,
4,1,4,1000,ffv1,,,,,,,,,,,,
4,1,4,1000,ffv1,,,,,,,,,,,,
4,1,3,1000,ffv1,,,,,,,,,,,,
4,1,3,1000,ffv1,,,,,,,,,,,,
4,1,3,1000,ffv1,,,,,,,,,,,,
4,1,3,1000,ffv1,,,,,,,,,,,,
5,1,3,1000,ffv1,,,,,,,,,,,,
5,1,3,1000,ffv1,,,,,,,,,,,,
5,1,3,1000,ffv1,,,,,,,,,,,,
5,1,4,1000,ffv1,,,,,,,,,,,,
5,1,4,1000,ffv1,,,,,,,,,,,,
5,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
6,1,3,1000,ffv1,,,,,,,,,,,,
7,1,4,1000,ffv1,,,,,,,,,,,,
7,1,4,1000,ffv1,,,,,,,,,,,,
7,1,3,1000,ffv1,,,,,,,,,,,,
7,1,3,1000,ffv1,,,,,,,,,,,,
7,1,3,1000,ffv1,,,,,,,,,,,,
7,1,3,1000,ffv1,,,,,,,,,,,,
8,1,3,1000,ffv1,,,,,,,,,,,,
8,1,3,1000,ffv1,,,,,,,,,,,,
8,1,4,1000,ffv1,,,,,,,,,,,,
8,1,4,1000,ffv1,,,,,,,,,,,,
8,1,4,1000,ffv1,,,,,,,,,,,,
8,1,4,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
9,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
10,1,3,1000,ffv1,,,,,,,,,,,,
11,1,3,1000,ffv1,,,,,,,,,,,,
11,1,3,1000,ffv1,,,,,,,,,,,,
11,1,3,1000,ffv1,,,,,,,,,,,,
11,1,4,1000,ffv1,,,,,,,,,,,,
11,1,4,1000,ffv1,,,,,,,,,,,,
11,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
12,1,3,1000,ffv1,,,,,,,,,,,,
13,1,3,1000,ffv1,,,,,,,,,,,,
13,1,3,1000,ffv1,,,,,,,,,,,,
13,1,4,1000,ffv1,,,,,,,,,,,,
13,1,4,1000,ffv1,,,,,,,,,,,,
13,1,4,1000,ffv1,,,,,,,,,,,,
13,1,4,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,3,1000,ffv1,,,,,,,,,,,,
14,1,4,1000,ffv1,,,,,,,,,,,,
15,1,4,1000,ffv1,,,,,,,,,,,,
15,1,4,1000,ffv1,,,,,,,,,,,,
15,1,4,1000,ffv1,,,,,,,,,,,,
15,1,4,1000,ffv1,,,,,,,,,,,,
15,1,4,1000,ffv1,,,,,,,,,,,,
15,1,3,1000,ffv1,,,,,,,,,,,,
15,1,3,1000,ffv1,,,,,,,,,,,,
15,1,3,1000,ffv1,,,,,,,,,,,,
15,1,3,1000,ffv1,,,,,,,,,,,,
1,1,4,5000,ffv1,,,,,,,,,,,,
1,1,4,5000,ffv1,,,,,,,,,,,,
1,1,4,5000,ffv1,,,,,,,,,,,,
1,1,4,5000,ffv1,,,,,,,,,,,,
1,1,4,5000,ffv1,,,,,,,,,,,,
1,1,4,5000,ffv1,,,,,,,,,,,,
2,1,4,5000,ffv1,,,,,,,,,,,,
2,1,4,5000,ffv1,,,,,,,,,,,,
2,1,4,5000,ffv1,,,,,,,,,,,,
2,1,4,5000,ffv1,,,,,,,,,,,,
2,1,4,5000,ffv1,,,,,,,,,,,,
2,1,4,5000,ffv1,,,,,,,,,,,,
3,1,4,5000,ffv1,,,,,,,,,,,,
3,1,4,5000,ffv1,,,,,,,,,,,,
3,1,4,5000,ffv1,,,,,,,,,,,,
3,1,4,5000,ffv1,,,,,,,,,,,,
3,1,4,5000,ffv1,,,,,,,,,,,,
3,1,4,5000,ffv1,,,,,,,,,,,,
4,1,4,5000,ffv1,,,,,,,,,,,,
4,1,4,5000,ffv1,,,,,,,,,,,,
4,1,4,5000,ffv1,,,,,,,,,,,,
4,1,4,5000,ffv1,,,,,,,,,,,,
4,1,4,5000,ffv1,,,,,,,,,,,,
4,1,4,5000,ffv1,,,,,,,,,,,,
5,1,4,5000,ffv1,,,,,,,,,,,,
5,1,4,5000,ffv1,,,,,,,,,,,,
5,1,4,5000,ffv1,,,,,,,,,,,,
5,1,4,5000,ffv1,,,,,,,,,,,,
5,1,4,5000,ffv1,,,,,,,,,,,,
5,1,4,5000,ffv1,,,,,,,,,,,,
6,1,4,5000,ffv1,,,,,,,,,,,,
6,1,4,5000,ffv1,,,,,,,,,,,,
6,1,4,5000,ffv1,,,,,,,,,,,,
6,1,4,5000,ffv1,,,,,,,,,,,,
6,1,4,5000,ffv1,,,,,,,,,,,,
6,1,4,5000,ffv1,,,,,,,,,,,,
7,1,4,5000,ffv1,,,,,,,,,,,,
7,1,4,5000,ffv1,,,,,,,,,,,,
7,1,4,5000,ffv1,,,,,,,,,,,,
7,1,4,5000,ffv1,,,,,,,,,,,,
7,1,4,5000,ffv1,,,,,,,,,,,,
7,1,4,5000,ffv1,,,,,,,,,,,,
8,1,4,5000,ffv1,,,,,,,,,,,,
8,1,4,5000,ffv1,,,,,,,,,,,,
8,1,4,5000,ffv1,,,,,,,,,,,,
8,1,4,5000,ffv1,,,,,,,,,,,,
8,1,4,5000,ffv1,,,,,,,,,,,,
8,1,4,5000,ffv1,,,,,,,,,,,,
9,1,4,5000,ffv1,,,,,,,,,,,,
9,1,4,5000,ffv1,,,,,,,,,,,,
9,1,4,5000,ffv1,,,,,,,,,,,,
9,1,4,5000,ffv1,,,,,,,,,,,,
9,1,4,5000,ffv1,,,,,,,,,,,,
9,1,4,5000,ffv1,,,,,,,,,,,,
10,1,4,5000,ffv1,,,,,,,,,,,,
10,1,4,5000,ffv1,,,,,,,,,,,,
10,1,4,5000,ffv1,,,,,,,,,,,,
10,1,4,5000,ffv1,,,,,,,,,,,,
10,1,4,5000,ffv1,,,,,,,,,,,,
10,1,4,5000,ffv1,,,,,,,,,,,,
11,1,4,5000,ffv1,,,,,,,,,,,,
11,1,4,5000,ffv1,,,,,,,,,,,,
11,1,4,5000,ffv1,,,,,,,,,,,,
11,1,4,5000,ffv1,,,,,,,,,,,,
11,1,4,5000,ffv1,,,,,,,,,,,,
11,1,4,5000,ffv1,,,,,,,,,,,,
12,1,4,5000,ffv1,,,,,,,,,,,,
12,1,4,5000,ffv1,,,,,,,,,,,,
12,1,4,5000,ffv1,,,,,,,,,,,,
12,1,4,5000,ffv1,,,,,,,,,,,,
12,1,4,5000,ffv1,,,,,,,,,,,,
12,1,4,5000,ffv1,,,,,,,,,,,,
13,1,4,5000,ffv1,,,,,,,,,,,,
13,1,4,5000,ffv1,,,,,,,,,,,,
13,1,4,5000,ffv1,,,,,,,,,,,,
13,1,4,5000,ffv1,,,,,,,,,,,,
13,1,4,5000,ffv1,,,,,,,,,,,,
13,1,4,5000,ffv1,,,,,,,,,,,,
14,1,4,5000,ffv1,,,,,,,,,,,,
14,1,4,5000,ffv1,,,,,,,,,,,,
14,1,4,5000,ffv1,,,,,,,,,,,,
14,1,4,5000,ffv1,,,,,,,,,,,,
14,1,4,5000,ffv1,,,,,,,,,,,,
14,1,4,5000,ffv1,,,,,,,,,,,,
15,1,4,5000,ffv1,,,,,,,,,,,,
15,1,4,5000,ffv1,,,,,,,,,,,,
15,1,4,5000,ffv1,,,,,,,,,,,,
15,1,4,5000,ffv1,,,,,,,,,,,,
15,1,4,5000,ffv1,,,,,,,,,,,,
15,1,4,5000,ffv1,,,,,,,,,,,,
15,1,4,5000,ffv1,,,,,,,,,,,,
15,1,4,5000,ffv1,,,,,,,,,,,,
15,1,4,5000,ffv1,,,,,,,,,,,,
1,1.5,10,1000,ffv15np,,,,,,,,,,,,
1,1.5,10,1000,ffv15np,,,,,,,,,,,,
1,1.5,10,1000,ffv15np,,,,,,,,,,,,
1,1.5,10,1000,ffv15np,,,,,,,,,,,,
1,1.5,5,1000,ffv15np,,,,,,,,,,,,
1,1.5,5,1000,ffv15np,,,,,,,,,,,,
2,1.5,5,1000,ffv15np,,,,,,,,,,,,
2,1.5,10,1000,ffv15np,,,,,,,,,,,,
2,1.5,10,1000,ffv15np,,,,,,,,,,,,
2,1.5,9,1000,ffv15np,,,,,,,,,,,,
2,1.5,9,1000,ffv15np,,,,,,,,,,,,
2,1.5,9,1000,ffv15np,,,,,,,,,,,,
3,1.5,9,1000,ffv15np,,,,,,,,,,,,
3,1.5,9,1000,ffv15np,,,,,,,,,,,,
3,1.5,15,1000,ffv15np,,,,,,,,,,,,
3,1.5,15,1000,ffv15np,,,,,,,,,,,,
3,1.5,9,1000,ffv15np,,,,,,,,,,,,
3,1.5,9,1000,ffv15np,,,,,,,,,,,,
4,1.5,8,1000,ffv15np,,,,,,,,,,,,
4,1.5,8,1000,ffv15np,,,,,,,,,,,,
4,1.5,8,1000,ffv15np,,,,,,,,,,,,
4,1.5,7,1000,ffv15np,,,,,,,,,,,,
4,1.5,7,1000,ffv15np,,,,,,,,,,,,
4,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,9,1000,ffv15np,,,,,,,,,,,,
5,1.5,9,1000,ffv15np,,,,,,,,,,,,
6,1.5,9,1000,ffv15np,,,,,,,,,,,,
6,1.5,9,1000,ffv15np,,,,,,,,,,,,
6,1.5,8,1000,ffv15np,,,,,,,,,,,,
6,1.5,8,1000,ffv15np,,,,,,,,,,,,
6,1.5,8,1000,ffv15np,,,,,,,,,,,,
6,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
8,1.5,8,1000,ffv15np,,,,,,,,,,,,
8,1.5,12,1000,ffv15np,,,,,,,,,,,,
8,1.5,12,1000,ffv15np,,,,,,,,,,,,
8,1.5,9,1000,ffv15np,,,,,,,,,,,,
8,1.5,9,1000,ffv15np,,,,,,,,,,,,
8,1.5,6,1000,ffv15np,,,,,,,,,,,,
9,1.5,6,1000,ffv15np,,,,,,,,,,,,
9,1.5,6,1000,ffv15np,,,,,,,,,,,,
9,1.5,9,1000,ffv15np,,,,,,,,,,,,
9,1.5,9,1000,ffv15np,,,,,,,,,,,,
9,1.5,9,1000,ffv15np,,,,,,,,,,,,
9,1.5,9,1000,ffv15np,,,,,,,,,,,,
10,1.5,9,1000,ffv15np,,,,,,,,,,,,
10,1.5,9,1000,ffv15np,,,,,,,,,,,,
10,1.5,9,1000,ffv15np,,,,,,,,,,,,
10,1.5,11,1000,ffv15np,,,,,,,,,,,,
10,1.5,11,1000,ffv15np,,,,,,,,,,,,
10,1.5,11,1000,ffv15np,,,,,,,,,,,,
11,1.5,11,1000,ffv15np,,,,,,,,,,,,
11,1.5,11,1000,ffv15np,,,,,,,,,,,,
11,1.5,11,1000,ffv15np,,,,,,,,,,,,
11,1.5,11,1000,ffv15np,,,,,,,,,,,,
11,1.5,12,1000,ffv15np,,,,,,,,,,,,
11,1.5,12,1000,ffv15np,,,,,,,,,,,,
12,1.5,12,1000,ffv15np,,,,,,,,,,,,
12,1.5,12,1000,ffv15np,,,,,,,,,,,,
12,1.5,11,1000,ffv15np,,,,,,,,,,,,
12,1.5,11,1000,ffv15np,,,,,,,,,,,,
12,1.5,11,1000,ffv15np,,,,,,,,,,,,
12,1.5,12,1000,ffv15np,,,,,,,,,,,,
13,1.5,12,1000,ffv15np,,,,,,,,,,,,
13,1.5,12,1000,ffv15np,,,,,,,,,,,,
13,1.5,12,1000,ffv15np,,,,,,,,,,,,
13,1.5,10,1000,ffv15np,,,,,,,,,,,,
13,1.5,10,1000,ffv15np,,,,,,,,,,,,
13,1.5,10,1000,ffv15np,,,,,,,,,,,,
14,1.5,10,1000,ffv15np,,,,,,,,,,,,
14,1.5,10,1000,ffv15np,,,,,,,,,,,,
14,1.5,10,1000,ffv15np,,,,,,,,,,,,
14,1.5,10,1000,ffv15np,,,,,,,,,,,,
14,1.5,9,1000,ffv15np,,,,,,,,,,,,
14,1.5,9,1000,ffv15np,,,,,,,,,,,,
15,1.5,9,1000,ffv15np,,,,,,,,,,,,
15,1.5,11,1000,ffv15np,,,,,,,,,,,,
15,1.5,11,1000,ffv15np,,,,,,,,,,,,
15,1.5,11,1000,ffv15np,,,,,,,,,,,,
15,1.5,11,1000,ffv15np,,,,,,,,,,,,
15,1.5,11,1000,ffv15np,,,,,,,,,,,,
15,1.5,11,1000,ffv15np,,,,,,,,,,,,
15,1.5,11,1000,ffv15np,,,,,,,,,,,,
15,1.5,11,1000,ffv15np,,,,,,,,,,,,
1,1.5,11,5000,ffv15np,,,,,,,,,,,,
1,1.5,11,5000,ffv15np,,,,,,,,,,,,
1,1.5,11,5000,ffv15np,,,,,,,,,,,,
1,1.5,11,5000,ffv15np,,,,,,,,,,,,
1,1.5,11,5000,ffv15np,,,,,,,,,,,,
1,1.5,11,5000,ffv15np,,,,,,,,,,,,
2,1.5,10,5000,ffv15np,,,,,,,,,,,,
2,1.5,10,5000,ffv15np,,,,,,,,,,,,
2,1.5,10,5000,ffv15np,,,,,,,,,,,,
2,1.5,13,5000,ffv15np,,,,,,,,,,,,
2,1.5,13,5000,ffv15np,,,,,,,,,,,,
2,1.5,13,5000,ffv15np,,,,,,,,,,,,
3,1.5,13,5000,ffv15np,,,,,,,,,,,,
3,1.5,11,5000,ffv15np,,,,,,,,,,,,
3,1.5,11,5000,ffv15np,,,,,,,,,,,,
3,1.5,11,5000,ffv15np,,,,,,,,,,,,
3,1.5,11,5000,ffv15np,,,,,,,,,,,,
3,1.5,11,5000,ffv15np,,,,,,,,,,,,
4,1.5,16,5000,ffv15np,,,,,,,,,,,,
4,1.5,16,5000,ffv15np,,,,,,,,,,,,
4,1.5,16,5000,ffv15np,,,,,,,,,,,,
4,1.5,16,5000,ffv15np,,,,,,,,,,,,
4,1.5,14,5000,ffv15np,,,,,,,,,,,,
4,1.5,14,5000,ffv15np,,,,,,,,,,,,
5,1.5,14,5000,ffv15np,,,,,,,,,,,,
5,1.5,14,5000,ffv15np,,,,,,,,,,,,
5,1.5,14,5000,ffv15np,,,,,,,,,,,,
5,1.5,14,5000,ffv15np,,,,,,,,,,,,
5,1.5,14,5000,ffv15np,,,,,,,,,,,,
5,1.5,14,5000,ffv15np,,,,,,,,,,,,
6,1.5,14,5000,ffv15np,,,,,,,,,,,,
6,1.5,13,5000,ffv15np,,,,,,,,,,,,
6,1.5,13,5000,ffv15np,,,,,,,,,,,,
6,1.5,13,5000,ffv15np,,,,,,,,,,,,
6,1.5,13,5000,ffv15np,,,,,,,,,,,,
6,1.5,13,5000,ffv15np,,,,,,,,,,,,
7,1.5,13,5000,ffv15np,,,,,,,,,,,,
7,1.5,13,5000,ffv15np,,,,,,,,,,,,
7,1.5,13,5000,ffv15np,,,,,,,,,,,,
7,1.5,13,5000,ffv15np,,,,,,,,,,,,
7,1.5,12,5000,ffv15np,,,,,,,,,,,,
7,1.5,12,5000,ffv15np,,,,,,,,,,,,
8,1.5,11,5000,ffv15np,,,,,,,,,,,,
8,1.5,11,5000,ffv15np,,,,,,,,,,,,
8,1.5,11,5000,ffv15np,,,,,,,,,,,,
8,1.5,11,5000,ffv15np,,,,,,,,,,,,
8,1.5,11,5000,ffv15np,,,,,,,,,,,,
8,1.5,13,5000,ffv15np,,,,,,,,,,,,
9,1.5,13,5000,ffv15np,,,,,,,,,,,,
9,1.5,13,5000,ffv15np,,,,,,,,,,,,
9,1.5,13,5000,ffv15np,,,,,,,,,,,,
9,1.5,11,5000,ffv15np,,,,,,,,,,,,
9,1.5,11,5000,ffv15np,,,,,,,,,,,,
9,1.5,11,5000,ffv15np,,,,,,,,,,,,
10,1.5,11,5000,ffv15np,,,,,,,,,,,,
10,1.5,11,5000,ffv15np,,,,,,,,,,,,
10,1.5,12,5000,ffv15np,,,,,,,,,,,,
10,1.5,12,5000,ffv15np,,,,,,,,,,,,
10,1.5,11,5000,ffv15np,,,,,,,,,,,,
10,1.5,11,5000,ffv15np,,,,,,,,,,,,
11,1.5,11,5000,ffv15np,,,,,,,,,,,,
11,1.5,11,5000,ffv15np,,,,,,,,,,,,
11,1.5,11,5000,ffv15np,,,,,,,,,,,,
11,1.5,11,5000,ffv15np,,,,,,,,,,,,
11,1.5,11,5000,ffv15np,,,,,,,,,,,,
11,1.5,15,5000,ffv15np,,,,,,,,,,,,
12,1.5,15,5000,ffv15np,,,,,,,,,,,,
12,1.5,10,5000,ffv15np,,,,,,,,,,,,
12,1.5,10,5000,ffv15np,,,,,,,,,,,,
12,1.5,10,5000,ffv15np,,,,,,,,,,,,
12,1.5,10,5000,ffv15np,,,,,,,,,,,,
12,1.5,10,5000,ffv15np,,,,,,,,,,,,
13,1.5,10,5000,ffv15np,,,,,,,,,,,,
13,1.5,10,5000,ffv15np,,,,,,,,,,,,
13,1.5,11,5000,ffv15np,,,,,,,,,,,,
13,1.5,11,5000,ffv15np,,,,,,,,,,,,
13,1.5,11,5000,ffv15np,,,,,,,,,,,,
13,1.5,11,5000,ffv15np,,,,,,,,,,,,
14,1.5,11,5000,ffv15np,,,,,,,,,,,,
14,1.5,11,5000,ffv15np,,,,,,,,,,,,
14,1.5,10,5000,ffv15np,,,,,,,,,,,,
14,1.5,10,5000,ffv15np,,,,,,,,,,,,
14,1.5,10,5000,ffv15np,,,,,,,,,,,,
14,1.5,13,5000,ffv15np,,,,,,,,,,,,
15,1.5,13,5000,ffv15np,,,,,,,,,,,,
15,1.5,12,5000,ffv15np,,,,,,,,,,,,
15,1.5,12,5000,ffv15np,,,,,,,,,,,,
15,1.5,12,5000,ffv15np,,,,,,,,,,,,
15,1.5,12,5000,ffv15np,,,,,,,,,,,,
15,1.5,12,5000,ffv15np,,,,,,,,,,,,
15,1.5,12,5000,ffv15np,,,,,,,,,,,,
15,1.5,12,5000,ffv15np,,,,,,,,,,,,
15,1.5,12,5000,ffv15np,,,,,,,,,,,,
1,1.5,10,1000,ffv15p,,,,,,,,,,,,
1,1.5,10,1000,ffv15p,,,,,,,,,,,,
1,1.5,8,1000,ffv15p,,,,,,,,,,,,
1,1.5,8,1000,ffv15p,,,,,,,,,,,,
1,1.5,8,1000,ffv15p,,,,,,,,,,,,
1,1.5,8,1000,ffv15p,,,,,,,,,,,,
2,1.5,11,1000,ffv15p,,,,,,,,,,,,
2,1.5,11,1000,ffv15p,,,,,,,,,,,,
2,1.5,11,1000,ffv15p,,,,,,,,,,,,
2,1.5,11,1000,ffv15p,,,,,,,,,,,,
2,1.5,9,1000,ffv15p,,,,,,,,,,,,
2,1.5,9,1000,ffv15p,,,,,,,,,,,,
3,1.5,9,1000,ffv15p,,,,,,,,,,,,
3,1.5,9,1000,ffv15p,,,,,,,,,,,,
3,1.5,9,1000,ffv15p,,,,,,,,,,,,
3,1.5,9,1000,ffv15p,,,,,,,,,,,,
3,1.5,6,1000,ffv15p,,,,,,,,,,,,
3,1.5,6,1000,ffv15p,,,,,,,,,,,,
4,1.5,8,1000,ffv15p,,,,,,,,,,,,
4,1.5,8,1000,ffv15p,,,,,,,,,,,,
4,1.5,8,1000,ffv15p,,,,,,,,,,,,
4,1.5,8,1000,ffv15p,,,,,,,,,,,,
4,1.5,8,1000,ffv15p,,,,,,,,,,,,
4,1.5,8,1000,ffv15p,,,,,,,,,,,,
5,1.5,8,1000,ffv15p,,,,,,,,,,,,
5,1.5,8,1000,ffv15p,,,,,,,,,,,,
5,1.5,8,1000,ffv15p,,,,,,,,,,,,
5,1.5,8,1000,ffv15p,,,,,,,,,,,,
5,1.5,8,1000,ffv15p,,,,,,,,,,,,
5,1.5,8,1000,ffv15p,,,,,,,,,,,,
6,1.5,7,1000,ffv15p,,,,,,,,,,,,
6,1.5,7,1000,ffv15p,,,,,,,,,,,,
6,1.5,7,1000,ffv15p,,,,,,,,,,,,
6,1.5,7,1000,ffv15p,,,,,,,,,,,,
6,1.5,7,1000,ffv15p,,,,,,,,,,,,
6,1.5,7,1000,ffv15p,,,,,,,,,,,,
7,1.5,7,1000,ffv15p,,,,,,,,,,,,
7,1.5,7,1000,ffv15p,,,,,,,,,,,,
7,1.5,7,1000,ffv15p,,,,,,,,,,,,
7,1.5,7,1000,ffv15p,,,,,,,,,,,,
7,1.5,7,1000,ffv15p,,,,,,,,,,,,
7,1.5,7,1000,ffv15p,,,,,,,,,,,,
8,1.5,7,1000,ffv15p,,,,,,,,,,,,
8,1.5,7,1000,ffv15p,,,,,,,,,,,,
8,1.5,7,1000,ffv15p,,,,,,,,,,,,
8,1.5,7,1000,ffv15p,,,,,,,,,,,,
8,1.5,7,1000,ffv15p,,,,,,,,,,,,
8,1.5,7,1000,ffv15p,,,,,,,,,,,,
9,1.5,9,1000,ffv15p,,,,,,,,,,,,
9,1.5,9,1000,ffv15p,,,,,,,,,,,,
9,1.5,9,1000,ffv15p,,,,,,,,,,,,
9,1.5,9,1000,ffv15p,,,,,,,,,,,,
9,1.5,8,1000,ffv15p,,,,,,,,,,,,
9,1.5,8,1000,ffv15p,,,,,,,,,,,,
10,1.5,11,1000,ffv15p,,,,,,,,,,,,
10,1.5,11,1000,ffv15p,,,,,,,,,,,,
10,1.5,8,1000,ffv15p,,,,,,,,,,,,
10,1.5,8,1000,ffv15p,,,,,,,,,,,,
10,1.5,7,1000,ffv15p,,,,,,,,,,,,
10,1.5,7,1000,ffv15p,,,,,,,,,,,,
11,1.5,9,1000,ffv15p,,,,,,,,,,,,
11,1.5,9,1000,ffv15p,,,,,,,,,,,,
11,1.5,7,1000,ffv15p,,,,,,,,,,,,
11,1.5,7,1000,ffv15p,,,,,,,,,,,,
11,1.5,6,1000,ffv15p,,,,,,,,,,,,
11,1.5,6,1000,ffv15p,,,,,,,,,,,,
12,1.5,10,1000,ffv15p,,,,,,,,,,,,
12,1.5,10,1000,ffv15p,,,,,,,,,,,,
12,1.5,10,1000,ffv15p,,,,,,,,,,,,
12,1.5,10,1000,ffv15p,,,,,,,,,,,,
12,1.5,8,1000,ffv15p,,,,,,,,,,,,\
12,1.5,8,1000,ffv15p,,,,,,,,,,,,
13,1.5,7,1000,ffv15p,,,,,,,,,,,,
13,1.5,7,1000,ffv15p,,,,,,,,,,,,
13,1.5,7,1000,ffv15p,,,,,,,,,,,,
13,1.5,7,1000,ffv15p,,,,,,,,,,,,
13,1.5,6,1000,ffv15p,,,,,,,,,,,,
13,1.5,6,1000,ffv15p,,,,,,,,,,,,
14,1.5,8,1000,ffv15p,,,,,,,,,,,,
